x	y	z	t
-0.364688	1.61978	0	3.835
-0.389483	1.61523	0	3.84
-0.414199	1.61033	0	3.845
-0.438832	1.60508	0	3.85
-0.463376	1.59949	0	3.855
-0.487825	1.59355	0	3.86
-0.512176	1.58727	0	3.865
-0.536423	1.58065	0	3.87
-0.56056	1.5737	0	3.875
-0.584584	1.56641	0	3.88
-0.60849	1.55878	0	3.885
-0.632271	1.55083	0	3.89
-0.655925	1.54254	0	3.895
-0.679446	1.53393	0	3.9
-0.702829	1.525	0	3.905
-0.72607	1.51575	0	3.91
-0.749165	1.50617	0	3.915
-0.772109	1.49629	0	3.92
-0.794897	1.48609	0	3.925
-0.817526	1.47558	0	3.93
-0.839991	1.46477	0	3.935
-0.862288	1.45365	0	3.94
-0.884413	1.44223	0	3.945
-0.906361	1.43051	0	3.95
-0.928129	1.41851	0	3.955
-0.949713	1.40621	0	3.96
-0.971109	1.39362	0	3.965
-0.992313	1.38075	0	3.97
-1.01332	1.36759	0	3.975
-1.03413	1.35416	0	3.98
-1.05474	1.34046	0	3.985
-1.07514	1.32649	0	3.99
-1.09533	1.31225	0	3.995
-1.1153	1.29774	0	4
-1.13507	1.28298	0	4.005
-1.15461	1.26796	0	4.01
-1.17392	1.25269	0	4.015
-1.19302	1.23718	0	4.02
-1.21188	1.22141	0	4.025
-1.23051	1.20541	0	4.03
-1.24891	1.18917	0	4.035
-1.26707	1.1727	0	4.04
-1.28499	1.156	0	4.045
-1.30266	1.13907	0	4.05
-1.32009	1.12193	0	4.055
-1.33727	1.10456	0	4.06
-1.3542	1.08698	0	4.065
-1.37088	1.0692	0	4.07
-1.38731	1.05121	0	4.075
-1.40347	1.03302	0	4.08
-1.41938	1.01463	0	4.085
-1.43502	0.996047	0	4.09
-1.4504	0.977278	0	4.095
-1.46552	0.958324	0	4.1
